typ,lat,long,nazwa
edukacja,52.799607,18.242640,SP nr 14 im. Zygmunta Wilkonskiego
edukacja,52.799594,18.251123,SP nr 6 im. Mikolaja Kopernika
edukacja,52.795938,18.253232,Zespol Szkol im. Marka Kotanskiego
edukacja,52.800210,18.265463,SP nr 1 im. Sw. Wojciecha
edukacja,52.800776,18.280097,SP nr 16 im. Jana Pawla II
edukacja,52.793927,18.268448,SP nr 8 im. 4. Kujawskiego Pulku Artylerii
edukacja,52.781023,18.249954,SP nr 4 im. J. Kusocinskiego
edukacja,52.778106,18.245826,SP nr 5 im. dra Jozefa Krzyminskiego
edukacja,52.765398,18.275878,SP nr 10 im. Jana Kasprowicza
edukacja,52.756473,18.254157,SP nr 9 im. M. Sklodowskiej-Curie
edukacja,52.791509,18.272833,Niepubliczna SP Jagiellonka
edukacja,52.796911,18.263309,I LO im. Jana Kasprowicza
edukacja,52.796870,18.246489,II LO im. Marii Konopnickiej
edukacja,52.802922,18.250375,Cosinus Inowroclaw
edukacja,52.799302,18.257177,Zak Inowroclaw
edukacja,52.797773,18.252228,Zespol Szkol Budowlanych
edukacja,52.787913,18.247789,Zespol Szkol Ekonomicznych i Handlowych
edukacja,52.795864,18.247570,Zespol Szkol Gastronomiczno-Hotelarskich
edukacja,52.788474,18.248366,Zespol Szkol Integracyjnych
edukacja,52.792182,18.261190,Zespol Szkol Zawodowych Rzemiosla
edukacja,52.799358,18.251848,Zespol Szkol Mechaniczno-Elektrycznych
edukacja,52.7924171,18.2603060,Kolegium Nauk Spolecznych oddzial WSG
edukacja,52.798143,18.263196,Wyzsza Szkola Przedsiebiorczosci
budynki uzytecznosci publicznej,52.7808350,18.2629076,Szpital wielospecjalistyczny
budynki uzytecznosci publicznej,52.797982,18.250488,Sad Rejonowy
budynki uzytecznosci publicznej,52.7936141,18.2506567,Urzad Miasta Inowroclaw 
budynki uzytecznosci publicznej,52.7980335,18.2564127,Urzad Gminy Inowroclaw
budynki uzytecznosci publicznej,52.7896864,18.2516364,Urzad Skarbowy
budynki uzytecznosci publicznej,52.7983838,18.2590943,Komenda Powiatowa Policji
budynki uzytecznosci publicznej,52.7904776,18.2715639,Apteka Calodobowa 
rozrywka,52.783826,18.240647,Galeria Solna
rozrywka,52.791922,18.246982,Stadion Miejski nr I
rozrywka,52.805615,18.264846,Stadion Miejski nr II
rozrywka,52.7971059, 18.2599063,Biblioteka Miejska
rozrywka,52.797193,18.259047,Teatr Miejski
rozrywka,52.771143,18.273807,Kregielnia 
rozrywka,52.775176,18.247535,Kino Max
rozrywka,52.7477006,18.2547109,Przystan Kajakowo-Zeglarska
rozrywka,52.792851,18.244061,Termy Inowroclawskie
