Numer przystanku;Nazwa;lat;long;Nr linii;Kierunek ruchu
1;Dworzec PKP 1 ;52.80601;18.24487;3, 4, ;Poczattkowy-Miasto
2;Dworzec PKP  2;52.80574;18.24475;1,10,16,21;Poczatkowy-Miasto
4;Dworcowa  Grabskiego - kier. Kopernika;52.80477;18.24810;1,3,4,16,21;Kopernika
5;Kopernika Wawrzyniaka - kier. Narutowicza;52.80149;18.25036;1,3,4,10,16,21,27,28 ;Narutowicza
6;Kopernika Narutowicza - kier. Ratuszowa;52.79900;18.24901;1,3,4,10,16,21,27,28 ;Ratuszowa
7;Ratuszowa Solankowa - kier. Niepodleglosci;52.79559;18.24959;16,21,27;Niepodleglosci
8;Niepodleglosci Swietokrzyska  - kier. Miechowicka;52.79185;18.25047;10,16,21,27;Miechowicka
9;Niepodleglosci Krzyminskiego - kier. Miechowicka;52.78832;18.25141;10,16,21,27;Miechowicka
10;Wojska Polskiego Niepodleglosci - kier. 800-lecia;52.78574;18.25193;10,16,20,21,28;800-lecia
11;Wojska Polskiego Pilsudskiego - kier. 800-lecia ;52.78417;18.24730;10,16,20,21,28;800-lecia
12;Wojska Polskiego Popieluszki - kier. 800-lecia;52.77996;18.24051;10,16,20,21,28;800-lecia
14;Wojska Polskiego Arctowskiego - kier. 800-lecia;52.77528;18.24125;10,16,21,28;800-lecia
15;800 - lecia  Wojska Polskiego - kier. 59 Pulku Piechoty;52.77330;18.24231;10,16,21,28;59 Pulku Piechoty
16;800 - lecia  59 Pulku Piechoty - kier. Niepodleglosci;52.77307;18.24819;10,16,20,21,28;Niepodleglosci
17;800 - lecia  Niepodleglosci - kier. Wojska Polskiego;52.77314;18.24843;10,16,21,27,28;Wojska Polskiego
18;800 - lecia  Alejnika - kier. Woj. Polskiego ;52.77331;18.24380;10,16,21,27,28;Wojska Polskiego
19;Wojska Polskiego  Plater - kier. Niepodleglosci;52.77645;18.24133;10,16,21,27,28;Niepodleglooci
20;Wojska Polskiego Szarych Szeregow 2- kier. Niepodleglosci;52.78125;18.24129;10,16,21,27,28;Niepodleglooci
21;Wojska Polskiego Kusocinskiego - kier. Niepodleglosci;52.78451;18.24971;10,16,21,27,28;Niepodleglosci
22;Niepodleglosci Zapadle  - kier. Ratuszowa;52.78681;18.25293;10,16,21,27;Ratuszowa
23;Niepodleglosci Krzyminskiego 2 - kier. Ratuszowa;52.78952;18.25134;10,16,21,27;Ratuszowa
24;Ratuszowa  Solankowa 2 - kier. Narutowicza;52.79573;18.24993;16,21,27;Narutowicza
25;Kopernika Narutowicza 2- kier. Dworcowa;52.79849;18.24941;1,3,4,10,16,21,27,28 ;Dworcowa
26;Kopernika Dworcowa - kier. Dworcowa;52.80135;18.25077;1,3,4,10,16,21,27,28 ;Dworcowa
27;Dworcowa Kopernika - kier. PKP;52.80257;18.25112;27;PKP
28;Dworcowa Metalowcow - kier. PKP;52.80482;18.24851;1,3,4,16,21,28;PKP
29;Szklarska - dla wysiadajacych kier. PKP;52.80727;18.24613;1,3,4,10,16,21,28;PKP
31;Narutowicza Grodzka - kier. Staszica;52.79740;18.25403;1,3,4,28;Staszica
32;Wojska Polskiego kosciol kier. 800-lecia     ;52.78232;18.24184;10,16,21,28;800-lecia   
33;Staszica  Narutowicza - kier. Poznanska;52.79840;18.25428;1,10,21;Poznanska
34;Staszica Swietokrzyska - kier. Poznanska;52.79178;18.25778;3,10,12,21,28;Poznanska
35;Poznanska Miechowicka - kier. Matwy ;52.78075;18.25977;3,12,21; Matwy
